cardClass,cost,dbfId,flavor,id,name,rarity,spellSchool,text,type,attack,health,races,durability
WARLOCK,2.0,2535,Very dangerous when attached to a demonbomb.,AT_024,Demonfuse,COMMON,SHADOW,Give a Demon +3/+3.,SPELL,,,,
WARLOCK,4.0,2632,A prime example of lose-lose negotiating.,AT_025,Dark Bargain,EPIC,SHADOW,Destroy 2 random enemy minions. Discard 2 random cards.,SPELL,,,,
WARLOCK,2.0,2623,"After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.",AT_026,Wrathguard,COMMON,,"Whenever this minion takes damage, also deal that amount to your hero.",MINION,4.0,3.0,['DEMON'],
WARLOCK,6.0,2621,"He can summon anything, even a FEARSOME DOOMGUARD*.
*He's pretty sure this is going to work out.",AT_027,Wilfred Fizzlebang,LEGENDARY,,Cards you draw from your Hero Power cost (0).,MINION,4.0,4.0,,
ROGUE,5.0,2765,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",AT_028,Shado-Pan Rider,COMMON,,<b>Combo:</b> Gain +4 Attack.,MINION,3.0,7.0,,
ROGUE,1.0,2715,The best part of buccaneering is the pants.,AT_029,Buccaneer,COMMON,,"Whenever you equip a weapon, give it +1 Attack.",MINION,2.0,1.0,['PIRATE'],
ROGUE,2.0,2767,Almost went to play for Stormwind before signing with Undercity.,AT_030,Undercity Valiant,COMMON,,<b>Combo:</b> Deal 1 damage.,MINION,3.0,2.0,['UNDEAD'],
ROGUE,2.0,2766,He has a giant collection of purses now.  One for every outfit!,AT_031,Cutpurse,RARE,,"Whenever this minion attacks a hero, add the Coin to your hand.",MINION,2.0,2.0,['UNDEAD'],
ROGUE,3.0,2768,I have great deal for you... for 4 damage to your face!,AT_032,Shady Dealer,RARE,,"<b>Battlecry:</b> If you have a Pirate, gain +1/+1.",MINION,4.0,3.0,,
ROGUE,3.0,2770,Yoink!,AT_033,Burgle,RARE,,"Get 3 random
cards <i>(from your
opponent's class)</i>.",SPELL,,,,
ROGUE,2.0,2763,How much more poisoned can a blade get?  The answer is a lot.  A lot more poisoned.,AT_034,Poisoned Blade,EPIC,,"Your Hero Power gives this +1 Attack instead
of replacing it.",WEAPON,1.0,,,3.0
ROGUE,3.0,2587,Can you hold these eggs for just a second?  I promise they're not full of giant enraged undead spider things.,AT_035,Beneath the Grounds,EPIC,,"Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian.",SPELL,,,,
ROGUE,8.0,2586,"Was actually a pretty nice guy before, you know, the whole Lich King thing.",AT_036,Anub'arak,LEGENDARY,,"<b>Deathrattle:</b> Summon a 4/4 Nerubian with ""<b>Deathrattle:</b> 
Summon Anub'arak.""",MINION,8.0,4.0,['UNDEAD'],
DRUID,1.0,2792,2 out of 2 saplings recommend that you summon the saplings.,AT_037,Living Roots,COMMON,NATURE,<b>Choose One -</b> Deal $2 damage; or Summon two 1/1 Saplings.,SPELL,,,,
DRUID,2.0,2782,"She loves mana crystals, she hates mana crystals.   So fickle!",AT_038,Darnassus Aspirant,RARE,,"<b>Battlecry:</b> Gain an empty Mana Crystal.
<b>Deathrattle:</b> Lose a Mana Crystal.",MINION,2.0,3.0,,
DRUID,4.0,2780,Maybe if you whistle a tune it will soothe him.  Yeah...  Try that.,AT_039,Savage Combatant,RARE,,<b>Inspire:</b> Give your hero +2 Attack this turn.,MINION,5.0,4.0,['BEAST'],
DRUID,4.0,2786,She was born to be something.  She is just not quite sure what yet...,AT_040,Wildwalker,COMMON,,<b>Battlecry:</b> Give a friendly Beast +3 Health.,MINION,4.0,4.0,,
DRUID,7.0,2788,He gets a discount on the tournament entry fee because he is his own horse.,AT_041,Knight of the Wild,RARE,,Costs (1) less for each Beast you've summoned this game.,MINION,6.0,6.0,,
DRUID,2.0,2783,"That's saberTEETH, not like curved pirate blades.  That's a different kind of druid.  Druid of the Curved Pirate Blades.",AT_042,Druid of the Saber,COMMON,,"[x]<b>Choose One -</b> Transform
into a 2/1 with <b>Charge</b>;
or a 3/2 with <b>Stealth</b>.",MINION,2.0,1.0,,
DRUID,4.0,2785,Hey!  Moon!  Can I have some mana crystals?,AT_043,Astral Communion,EPIC,ARCANE,Gain 10 Mana Crystals. Discard your hand.,SPELL,,,,
DRUID,3.0,2793,Is this a noun or a verb?  We will never know.,AT_044,Mulch,EPIC,NATURE,"Destroy a minion.
Add a random minion to your opponent's hand.",SPELL,,,,
DRUID,9.0,2796,"Call her ""Tweety"".  She'll find it real funny.  I PROMISE.",AT_045,Aviana,LEGENDARY,,Your minions cost (1).,MINION,5.0,5.0,,
SHAMAN,2.0,2513,Turns out the tuskarr aren't real choosy about their totems.,AT_046,Tuskarr Totemic,COMMON,,<b>Battlecry:</b> Summon a random basic Totem.,MINION,3.0,2.0,,
SHAMAN,4.0,2613,It's nice to find a real craftsman in this day and age of mass-produced totems.,AT_047,Draenei Totemcarver,RARE,,<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.,MINION,4.0,5.0,,
SHAMAN,3.0,2612,"Favored by shaman who study the art of restoration and healing, this spell would feel smug, if it had feelings.",AT_048,Healing Wave,RARE,NATURE,"Restore #8 Health. Reveal a minion in each deck. If yours costs more, restore #16 instead.",SPELL,,,,
SHAMAN,5.0,2615,"Allowing totems to attack is not cheating.  I mean, there isn't anything in the rule books about it.",AT_049,Thunder Bluff Valiant,RARE,,"<b>Battlecry and Inspire:</b>
Give your Totems
+2 Attack.",MINION,3.0,6.0,,
SHAMAN,3.0,2617,You can only pick it up if you are worthy.,AT_050,Charged Hammer,EPIC,,<b>Deathrattle:</b> Your Hero Power becomes 'Deal 2 damage.',WEAPON,2.0,,,3.0
SHAMAN,3.0,2620,"I'm not a shaman or anything, but isn't Elemental Destruction the opposite of what they want to do?",AT_051,Elemental Destruction,EPIC,NATURE,Deal $4-$5 damage to all minions. <b>Overload:</b> (2),SPELL,,,,
SHAMAN,2.0,2610,What happens when you glue a buncha totems together.,AT_052,Totem Golem,COMMON,,<b>Overload:</b> (1),MINION,3.0,4.0,['TOTEM'],
SHAMAN,2.0,2514,MOMMMMMYYYYYYYYY!!!,AT_053,Ancestral Knowledge,COMMON,,Draw 2 cards. <b>Overload:</b> (1),SPELL,,,,
SHAMAN,6.0,2618,"Calling the mist doesn't sound all that great.  ""Ooooh, it is slightly damp now!""",AT_054,The Mistcaller,LEGENDARY,,<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.,MINION,4.0,4.0,['UNDEAD'],
PRIEST,1.0,2582,Flash!  Ahhhhhhh~,AT_055,Flash Heal,COMMON,HOLY,Restore #5 Health.,SPELL,,,,
HUNTER,3.0,2638,pow POW pow,AT_056,Powershot,RARE,,Deal $2 damage to a minion and the minions next to it.,SPELL,,,,
HUNTER,3.0,2639,"Takes way better care of her pets than her brother, Unstablemaster.",AT_057,Stablemaster,EPIC,,<b>Battlecry:</b> Give a friendly Beast <b>Immune</b> this turn.,MINION,4.0,2.0,,
HUNTER,2.0,2635,Elekk jousting is AWESOME.,AT_058,King's Elekk,COMMON,,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.",MINION,3.0,2.0,['BEAST'],
HUNTER,1.0,2642,"This is a ""bearly"" concealed reference.",AT_059,Brave Archer,COMMON,,"<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero.",MINION,2.0,1.0,,
HUNTER,2.0,2641,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",AT_060,Bear Trap,COMMON,,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",SPELL,,,,
HUNTER,0.0,2484,"Rexxar narrowed his eyes, grabbed his machine gun, and said: ""It's go time.  Lock and load.""
This card pays homage to that special moment.",AT_061,Lock and Load,EPIC,,"Each time you cast a spell this turn, get a random Hunter card.",SPELL,,,,
HUNTER,3.0,2483,"""THEY'RE EVERYWHERE GET THEM OFF!!!"" - Everyone",AT_062,Ball of Spiders,RARE,,"Summon three 1/1 Webspinners
with ""<b>Deathrattle:</b> Get
a random Beast.""",SPELL,,,,
HUNTER,3.0,2633,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",AT_063,Acidmaw,LEGENDARY,,"Whenever an enemy minion takes damage, destroy it.",MINION,4.0,2.0,['BEAST'],
HUNTER,3.0,2634,Let's be clear about this:  ACIDMAW is the sidekick.,AT_063t,Dreadscale,LEGENDARY,,"At the end of your turn, deal 1 damage to all enemies.",MINION,4.0,2.0,['BEAST'],
WARRIOR,2.0,2729,You might think bashing doesn't take a lot of practice.  It doesn't.,AT_064,Bash,COMMON,,"Deal $3 damage.
Gain 3 Armor.",SPELL,,,,
WARRIOR,3.0,2756,"""King's Attacker"" is a shield.  Funny, huh?",AT_065,King's Defender,RARE,,"<b>Battlecry:</b> If you have a minion with <b>Taunt</b>, gain +1 Durability.",WEAPON,3.0,,,2.0
WARRIOR,3.0,2711,"""Four out of three orcs struggle with math."" - Angry Zurge",AT_066,Orgrimmar Aspirant,COMMON,,<b>Inspire:</b> Give your weapon +1 Attack.,MINION,3.0,3.0,,
WARRIOR,4.0,2753,Playing him also gets you into the Magnataur Beta.,AT_067,Magnataur Alpha,EPIC,,"Also damages the minions next to whomever
he attacks.",MINION,5.0,3.0,,
WARRIOR,2.0,2754,The best offense is a good defense.,AT_068,Bolster,COMMON,,Give your <b>Taunt</b> minions +2/+2.,SPELL,,,,
WARRIOR,2.0,2733,"Come at me, bro.",AT_069,Sparring Partner,RARE,,"<b>Taunt</b>
<b>Battlecry:</b> Give a
minion <b>Taunt</b>.",MINION,3.0,2.0,,
NEUTRAL,7.0,2757,What's more boss than riding a parrot with a jawbone for a shoulderpad while wielding a giant hook-lance-thing and wearing a pirate hat?  NOTHING.,AT_070,Skycap'n Kragg,LEGENDARY,,"<b>Charrrrrge</b>
Costs (1) less for each friendly Pirate.",MINION,4.0,6.0,['PIRATE'],
WARRIOR,2.0,2758,"""Put more spikes on her.  No, more spikes.  What part of 'more spikes' do you not understand?  MORE SPIKES!"" - Alexstrasza",AT_071,Alexstrasza's Champion,RARE,,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Charge</b>.",MINION,2.0,3.0,,
WARRIOR,10.0,2760,"Leader of the Alliance!  Father of Anduin!  Also he likes to play Arena, and he averages 12 wins.",AT_072,Varian Wrynn,LEGENDARY,,"<b>Battlecry:</b> Draw 3 cards.
Put any minions you drew directly into the battlefield.",MINION,7.0,7.0,,
PALADIN,1.0,2648,Competition can be an inspiration to improve oneself.  Or kill all the competitors.,AT_073,Competitive Spirit,RARE,,"<b>Secret:</b> When your turn starts, give your minions +1/+1.",SPELL,,,,
PALADIN,3.0,2717,"""Arf! Arf! Arf!"" - Seal of Champions",AT_074,Seal of Champions,COMMON,HOLY,"Give a minion
+3 Attack and <b>Divine Shield</b>.",SPELL,,,,
PALADIN,3.0,2515,He doesn't even get Sundays off.  Every day he's hostling.,AT_075,Warhorse Trainer,COMMON,,Your Silver Hand Recruits have +2 Attack and <b>Taunt</b>.,MINION,3.0,4.0,,
PALADIN,4.0,2655,Hee hee!  Look at his cute little feet.,AT_076,Murloc Knight,COMMON,,<b>Inspire:</b> Summon a random Murloc.,MINION,3.0,4.0,['MURLOC'],
PALADIN,2.0,2720,"The stripes make it look like a candy cane, but we recommend against licking it.",AT_077,Argent Lance,RARE,,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.",WEAPON,2.0,,,2.0
PALADIN,3.0,2654,You have to get past the vendors first.  So many are lost to shopping...,AT_078,Enter the Coliseum,EPIC,,Destroy all minions except each player's highest Attack minion.,SPELL,,,,
PALADIN,5.0,2726,"He may sound surly and antisocial, but he's actually just really shy.",AT_079,Mysterious Challenger,EPIC,,<b>Battlecry:</b> Put one of each <b>Secret</b> from your deck into the battlefield.,MINION,5.0,5.0,,
NEUTRAL,2.0,2517,"He'll never admit it, but he pushes you hard because he really cares about you.",AT_080,Garrison Commander,EPIC,,You can use your Hero Power twice a turn.,MINION,2.0,3.0,,
PALADIN,7.0,2727,Nobody rocks a monocle like Eadric.,AT_081,Eadric the Pure,LEGENDARY,,"<b>Battlecry:</b> Change all enemy minions'
Attack to 1.",MINION,3.0,7.0,,
NEUTRAL,1.0,2486,But not the lowliest!,AT_082,Lowly Squire,COMMON,,<b>Inspire:</b> Gain +1 Attack.,MINION,1.0,2.0,,
NEUTRAL,3.0,2533,Check it out.  You can do barrel rolls on this thing.,AT_083,Dragonhawk Rider,COMMON,,"<b>Inspire:</b> Gain <b>Windfury</b>
this turn.",MINION,3.0,3.0,,
NEUTRAL,2.0,2577,"Lance Carrier is an obscure entry level position in orcish armies.  A mystery, since orcs don't generally use lances.",AT_084,Lance Carrier,COMMON,,<b>Battlecry:</b> Give a friendly minion +2 Attack.,MINION,1.0,2.0,,
NEUTRAL,4.0,2488,Not a good basis for a system of government.,AT_085,Maiden of the Lake,COMMON,,Your Hero Power costs (1).,MINION,2.0,6.0,,
NEUTRAL,3.0,2576,Listen all y'all it's a saboteur!,AT_086,Saboteur,RARE,,<b>Battlecry:</b> Your opponent's Hero Power costs (5) more next turn.,MINION,4.0,3.0,,
NEUTRAL,3.0,2490,His horse's name is Betsy.,AT_087,Argent Horserider,COMMON,,"<b>Charge</b>
<b>Divine Shield</b>",MINION,2.0,1.0,,
NEUTRAL,6.0,2491,This champion has learned from the best.  Except for his target selection.,AT_088,Mogor's Champion,RARE,,50% chance to attack the wrong enemy.,MINION,8.0,5.0,,
NEUTRAL,2.0,2495,"Underneath all that impressive armor, he's just skin and bones.  Okay, maybe just bones.",AT_089,Boneguard Lieutenant,COMMON,,<b>Inspire:</b> Gain +1 Health.,MINION,3.0,2.0,['UNDEAD'],
NEUTRAL,5.0,2497,"An elegant gorilla, for a more civilized age.",AT_090,Mukla's Champion,COMMON,,<b>Inspire:</b> Give your other minions +1/+1.,MINION,5.0,3.0,['BEAST'],
NEUTRAL,4.0,2575,The medic tournament is less entertaining than the Grand Tournament.,AT_091,Tournament Medic,COMMON,,<b>Inspire:</b> Restore #2 Health to your hero.,MINION,1.0,8.0,,
NEUTRAL,3.0,2594,He's a lot cooler than Magma Rager.,AT_092,Ice Rager,COMMON,,,MINION,5.0,2.0,['ELEMENTAL'],
NEUTRAL,4.0,2532,"Ironically, the natural enemy of the snobold is THE CANDLE.",AT_093,Frigid Snobold,COMMON,,<b>Spell Damage +1</b>,MINION,2.0,6.0,,
NEUTRAL,2.0,2580,"At first he liked juggling chain saws, but then he thought, ""Flames are better!  Because FIRE!""",AT_094,Flame Juggler,COMMON,,<b>Battlecry:</b> Deal 1 damage to a random enemy.,MINION,2.0,3.0,,
NEUTRAL,3.0,2579,He used to be a librarian.  Old habits die hard.,AT_095,Silent Knight,COMMON,,"<b>Stealth</b>
<b>Divine Shield</b>",MINION,2.0,2.0,,
NEUTRAL,5.0,2500,It takes a lot to wind him up.,AT_096,Clockwork Knight,COMMON,,<b>Battlecry:</b> Give a friendly Mech +1/+1.,MINION,5.0,5.0,['MECHANICAL'],
NEUTRAL,1.0,2499,He was so excited to get season tickets to this year's Grand Tournament.  He normally doesn't get them at first and has to buy them from Ogre scalpers.,AT_097,Tournament Attendee,COMMON,,<b>Taunt</b>,MINION,2.0,1.0,,
NEUTRAL,6.0,2573,Hey!  Let me try that...,AT_098,Sideshow Spelleater,EPIC,,<b>Battlecry:</b> Copy your opponent's Hero Power.,MINION,6.0,5.0,,
NEUTRAL,6.0,2598,"Someone called her a Rhinorider, and she's NOT HAPPY.",AT_099,Kodorider,EPIC,,<b>Inspire:</b> Summon a 3/5 War Kodo.,MINION,3.0,5.0,,
NEUTRAL,3.0,2503,The Silver Hand is the best paladin organization.  The Argent Crusaders are super jealous.,AT_100,Silver Hand Regent,COMMON,,<b>Inspire:</b> Summon a 1/1 Silver Hand Recruit.,MINION,3.0,3.0,,
NEUTRAL,5.0,2521,What did the pits ever do to you?,AT_101,Pit Fighter,COMMON,,,MINION,5.0,6.0,,
NEUTRAL,7.0,2522,"You can keep him, but you have to promise to feed him and clean out his tank every day!",AT_102,Captured Jormungar,COMMON,,,MINION,5.0,9.0,['BEAST'],
NEUTRAL,9.0,2520,You have no idea how tired this guy is of being released.,AT_103,North Sea Kraken,COMMON,,<b>Battlecry:</b> Deal 4 damage.,MINION,9.0,7.0,['BEAST'],
PALADIN,5.0,2504,Just could not be talked out of using his turtle for the joust...,AT_104,Tuskarr Jouster,RARE,,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, restore #7 Health to your hero.",MINION,5.0,5.0,,
NEUTRAL,1.0,2502,Don't worry.  With a little skin cream he's going to clear right up.,AT_105,Injured Kvaldir,RARE,,<b>Battlecry:</b> Deal 3 damage to this minion.,MINION,2.0,4.0,['UNDEAD'],
NEUTRAL,3.0,2259,"When there's something strange (say, a gibbering demon) in your neighborhood, who are you going to call?",AT_106,Light's Champion,RARE,,<b>Battlecry:</b> <b>Silence</b> a Demon.,MINION,4.0,3.0,,
NEUTRAL,4.0,2627,Yep.  It's a horse... wearing armor... going to war.,AT_108,Armored Warhorse,RARE,,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Charge</b>.",MINION,5.0,3.0,['BEAST'],
NEUTRAL,2.0,2505,Who argent watches the Argent Watchman?,AT_109,Argent Watchman,RARE,,"Can't attack.
<b>Inspire:</b> Can attack as normal this turn.",MINION,2.0,4.0,,
NEUTRAL,3.0,2585,Meets monthly with the gladiators to discuss career goals.,AT_110,Coliseum Manager,RARE,,<b>Inspire:</b> Return this minion to your hand.,MINION,2.0,5.0,,
NEUTRAL,4.0,2704,"Menu:  Funnel cakes, carrots, popcorn, jormungar steaks.  It's hard serving a diverse clientele.",AT_111,Refreshment Vendor,COMMON,,<b>Battlecry:</b> Restore #4 Health to each hero.,MINION,3.0,5.0,,
NEUTRAL,6.0,2507,Needs just a few more ratings points to become Grandmaster Jouster.,AT_112,Master Jouster,RARE,,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Taunt</b> and <b>Divine Shield</b>.",MINION,5.0,6.0,,
NEUTRAL,5.0,2509,Join the Argent Crusade!  We have attractive tabards and you get to carry really nice swords!,AT_113,Recruiter,EPIC,,<b>Inspire:</b> Add a 2/2 Squire to your hand.,MINION,5.0,4.0,,
NEUTRAL,4.0,2752,"To be honest, heckling is not the most effective form of evil.",AT_114,Evil Heckler,COMMON,,<b>Taunt</b>,MINION,5.0,4.0,,
NEUTRAL,3.0,2581,"Good fencers make good neighbors, right?",AT_115,Fencing Coach,RARE,,"<b>Battlecry:</b> The next time you use your Hero Power, it costs (2) less.",MINION,2.0,2.0,,
PRIEST,2.0,2596,Keeping tabs on the Grand Tournament is priority #1 for the five mighty Dragonflights!,AT_116,Wyrmrest Agent,RARE,,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",MINION,1.0,4.0,,
NEUTRAL,3.0,2493,"Goes by ""MC ElfyElf"".",AT_117,Master of Ceremonies,EPIC,,"<b>Battlecry:</b> If you have a minion with <b>Spell Damage</b>, gain +2/+2.",MINION,4.0,2.0,,
NEUTRAL,6.0,2510,"A veteran of a number of crusades, she is a force for light and goodness.  Her latest crusade is against goblin telemarketers.",AT_118,Grand Crusader,EPIC,,<b>Battlecry:</b> Add a random Paladin card to your hand.,MINION,5.0,5.0,,
NEUTRAL,5.0,2511,Coming soon... to a tuskarr village near you!,AT_119,Kvaldir Raider,COMMON,,<b>Inspire:</b> Gain +2/+2.,MINION,4.0,4.0,['UNDEAD'],
NEUTRAL,10.0,2512,Don't ask him about the beard.  JUST DON'T.,AT_120,Frost Giant,EPIC,,Costs (1) less for each time you used your Hero Power this game.,MINION,8.0,8.0,,
NEUTRAL,4.0,2518,The crowd ALWAYS yells lethal.,AT_121,Crowd Favorite,EPIC,,"Whenever you play a card with <b>Battlecry</b>, gain +1/+1.",MINION,4.0,4.0,,
NEUTRAL,4.0,2724,Gormok has been giving impaling lessons in a small tent near the tournament grounds.  For only 25g you too could learn the fine art of impaling!,AT_122,Gormok the Impaler,LEGENDARY,,"<b>Battlecry:</b> If you have at least 4 other minions, deal 4 damage.",MINION,4.0,4.0,,
NEUTRAL,7.0,2682,"Chillmaw keeps trying to ruin the Grand Tournament, and she would've done it too, if it weren't for those dang kids!",AT_123,Chillmaw,LEGENDARY,,"[x]<b>Taunt</b>
<b>Deathrattle:</b> If you're holding
a Dragon, deal 3 damage
to all minions.",MINION,6.0,6.0,"['UNDEAD', 'DRAGON']",
NEUTRAL,6.0,2595,"Bolf keeps coming in 2nd at the Grand Tournament.  It might be his year this year, if Lebron doesn't enter.",AT_124,Bolf Ramshield,LEGENDARY,,"Whenever your hero takes damage, this minion takes it instead.",MINION,3.0,9.0,,
NEUTRAL,9.0,2725,This massive yeti just closes his eyes and charges at the nearest target.  The nearest Target is a couple blocks away and has sick deals on skateboards.,AT_125,Icehowl,LEGENDARY,,"<b>Charge</b>
Can't attack heroes.",MINION,10.0,10.0,,
NEUTRAL,5.0,2683,"The ethereals have their own jousting tournament, and Saraad is the reigning champion.  Also he won the ethereal hot dog eating contest.",AT_127,Nexus-Champion Saraad,LEGENDARY,,<b>Inspire:</b> Add a random spell to your hand.,MINION,4.0,5.0,,
NEUTRAL,6.0,2681,Apparently it really was just a flesh wound.,AT_128,The Skeleton Knight,LEGENDARY,,"<b>Deathrattle:</b> Reveal a minion in each deck. If yours costs more, return this to your hand.",MINION,7.0,4.0,['UNDEAD'],
NEUTRAL,3.0,2748,"LOVES being called ""the wonder twins"".",AT_129,Fjola Lightbane,LEGENDARY,,"Whenever <b>you</b> target this minion with a spell, gain <b><b>Divine Shield</b>.</b>",MINION,3.0,4.0,['UNDEAD'],
WARRIOR,6.0,2723,A little better than Sea Minus Reaver.,AT_130,Sea Reaver,EPIC,,"When you draw this, deal 1 damage to your minions.",MINION,6.0,7.0,['UNDEAD'],
NEUTRAL,3.0,2519,"HATES being called ""the wonder twins"".",AT_131,Eydis Darkbane,LEGENDARY,,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",MINION,3.0,4.0,['UNDEAD'],
NEUTRAL,5.0,2736,It's like putting racing stripes and a giant spoiler on your hero power.,AT_132,Justicar Trueheart,LEGENDARY,,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,MINION,6.0,4.0,,
NEUTRAL,1.0,2818,It's not HER fault you didn't put a spinning saw blade on your horse.,AT_133,Gadgetzan Jouster,COMMON,,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1.",MINION,1.0,2.0,,
NEUTRAL,4.0,66875,"Inside your deck there are two wolves.
One is a frostwolf. The other is a frostwolf.
You are a Frostwolf.",AV_100,Drek'Thar,LEGENDARY,,"[x]<b>Battlecry</b>: If this costs
more than every minion in
your deck, summon one
of those minions.",MINION,4.0,4.0,,
